Stations_Feature,Actual Day 1,Predicted Day 1
Addis PRECIP,3.4,0.8273721933364868
Addis TMPMAX,21.6,23.373668670654297
Addis TMPMIN,11.000000000000002,10.724081993103027
Arba Minch PRECIP,0.0,0.043896693736314774
Arba Minch TMPMAX,28.100000000000005,28.697792053222656
Arba Minch TMPMIN,17.8,18.351533889770508
Awassa PRECIP,0.0,0.4421096742153168
Awassa TMPMAX,25.8,25.59665870666504
Awassa TMPMIN,12.0,14.11373233795166
Combolcha PRECIP,0.2,0.716285228729248
Combolcha TMPMAX,29.200000000000003,29.413740158081055
Combolcha TMPMIN,15.800000000000002,15.094158172607422
Debre Markos  PRECIP,3.6,1.8109164237976074
Debre Markos  TMPMAX,20.0,20.72698974609375
Debre Markos  TMPMIN,11.6,10.851458549499512
Dire Dawa PRECIP,1.844603404563564,0.0005936246016062796
Dire Dawa TMPMAX,33.8,35.3994255065918
Dire Dawa TMPMIN,22.5,22.973051071166992
Gondar PRECIP,2.6,1.0156137943267822
Gondar TMPMAX,24.0,25.471403121948242
Gondar TMPMIN,15.100000000000001,13.965343475341797
Gore PRECIP,0.0,4.578409671783447
Gore TMPMAX,22.0,22.068828582763672
Gore TMPMIN,14.000000000000002,12.9002046585083
Jimma PRECIP,9.2,2.438849925994873
Jimma TMPMAX,25.5,26.303647994995117
Jimma TMPMIN,15.799999999999999,14.119192123413086
Mekelle PRECIP,0.0,0.44642797112464905
Mekelle TMPMAX,25.0,26.032024383544922
Mekelle TMPMIN,15.599999999999998,13.253620147705078
Metehara  PRECIP,1.430242665700833,-0.001411931007169187
Metehara  TMPMAX,35.0,36.38390350341797
Metehara  TMPMIN,22.5,21.47762107849121
Neghele PRECIP,0.0,0.002060485538095236
Neghele TMPMAX,26.2,23.789928436279297
Neghele TMPMIN,15.1,15.043665885925293
Nekemte PRECIP,3.0,4.335511684417725
Nekemte TMPMAX,20.5,22.06995964050293
Nekemte TMPMIN,13.799999999999999,12.778735160827637
Robe PRECIP,1.6000000000000003,0.27951908111572266
Robe TMPMAX,22.6,22.185386657714844
Robe TMPMIN,9.5,9.231033325195312
